𧦞(pù): 谏; 字数: 1
𧦟(𧦟fān): 言急; 字数: 2
𧦤(jiā): 诬; 字数: 1
𧦭(xī): 言多貌; 字数: 3
𧦮(𧦮ná): 〔絲𧦮〕语不解; 字数: 5
𧦸(⁵𧦸yín): 《類篇》：“𧦸，音銀; 字数: 5
𧦹(𧦹yìn): 《搜真玉鏡》：“𧦹，魚禁切; 字数: 8
𧧃(𧧃jì): 揭发别人的阴私; 字数: 7
𧧅(shì): 忘记; 字数: 2
𧧇(𧧇duò): 言相夸; 字数: 3
𧧉(𧧉tuō): 毁谤; 字数: 2
𧧊(𧧊wā): 〔諣𧧊〕惰; 字数: 3
𧧋(𧧋lì): 言美; 字数: 2
𧧏(rè): 如; 字数: 1
𧧒(cì): 列举其过失而规劝之; 字数: 9
𧧓(xù): 静; 字数: 1
𧧔(𧧔zhōu): 多言; 字数: 2
𧧝(𧧝yǎ): 〔𧨊𧧝〕见“𧨊”; 字数: 4
𧧟(𧧟jì): 《奚韻》具義切; 字数: 5
𧧩(𧧩jí): 《俗字背篇》：“𧧩，子石切; 字数: 8
𧧵(𧧵shǎn): 诱言; 字数: 2
𧧶(𧧶tú): 〔䛬𧧶〕说话没完没了; 字数: 8
𧧸(bié): 辩论; 字数: 2
𧧻(zhà): 惭语; 字数: 2
𧧾(huì): 市𧧾; 字数: 2
𧨀(suō): 佞; 字数: 1
𧨀(zuò): 以言语折服人; 字数: 6
𧨂(hè): 〔𧨂𧨂〕众声; 字数: 4
𧨄(𧨄yuē): 拒不回答; 字数: 4
𧨊(𧨊zhà): 〔𧨊訝〕1.言戾; 字数: 4
𧨋(𧨋huá): 《類篇》音滑; 字数: 4
𧨗(𧨗chán): 《字彙補·言部》：“𧨗，直廉切，音𪏋; 字数: 12
𧨟(𧨟è): 《字彙補·言部》：“𧨟，烏合切，音姶; 字数: 12
𧨡(𧨡chén): 《類篇》：“𧨡，音臣; 字数: 5
𧨧(𧨧suì): 相毁; 字数: 2
𧨩(𧨩tiǎn): 〔𧨩䜝〕言不定; 字数: 5
𧨰(𧨰zhì): 语不正; 字数: 3
𧨱(tì): 僻; 字数: 1
𧨲(𧨲āo): 《川篇》烏刀切; 字数: 5
𧨳(𧨳zhuó): 人名用字; 字数: 4
𧨴(𧨴zì): 言入; 字数: 2
𧨵(𧨵kè): 〔𧨵䜙〕笑语; 字数: 4
𧨷(𧨷sè): 多言; 字数: 2
𧨸(𧨸tǔn): 〔𧨸詪〕狠貌; 字数: 4
𧨹(𧨹lù): 开玩笑; 字数: 3
𧨾(𧨾shán): 言不实; 字数: 3
𧨿(𧨿zhǎ): 姓; 字数: 1
𧩃(𧩃chōng): 《龍龕手鑑》音憧; 字数: 6
𧩅(𧩅yàn): 《川篇》魚變切; 字数: 5
𧩒(𧩒mǔ): 《字彙補·言部》：“𧩒，名剖切，音母; 字数: 12
